Goal No.,Goal No.,title,Abstract
4,9,"ANALYSIS OF CORRELATION BETWEEN CLASS ACTIVITY AND STUDENTS' ATTENTION IN
4 EDUCATION ACTIVE LEARNING CLASS","Field: Education 1. Introduction In our previous study we got that the brains of students exhibited a higher level of activation in the Active Learning classes than the conventional lecture classes and the number of blinks exhibited a deeper concentration. This time, we will investigate a correlation between the biological data of students in AL classes and changes of activities in the class. Our second aim is to observe how affect the concentration according to timings that students will get answers.. 2. Experimental Methods
Figure 1: Group Work We conducted a 75-minute Mathematics classes for the experiment. Eight students who are 16-17 years old were split in two groups of four. To the first group the teacher hands the answer of their work from the beginning of their work, while to the second group she hands it after a while their work has started. Through out the class, the strength and the speed of eye blinks and the head movement of three students were tracked with a special type of glasses (JINS MEME, n.d.).
3. Results & Discussion Figure 1 shows the strength of students' eyeblinks. The vertical lines in figure 1 indecate the timmings of class activities change. We can observe that strengths got stable right after the period D, E, G started. That means students got into concentrate. Table 1 shows the result of F-test for these stabilities. The p-values in blue and yellow cells show that students get concentrated or not. This result mainly ensures our observation. Furthermore we can see that the first group students (Student 1,2) kept their concentration but the second group student (Student 3) didn't.
4. Conclusions Our results demonstrated that the students got into concentrated in tune with changing the activities in the class.
Figure 2 : Numbers of students' eye blinks Moreover students keep concentrated just for ten minutes, at most fifteen minutes. We also found that if the teacher design the class with suitable activity and change
Variation the activity properly sometimes then
0.968 p Value
0.350 students can sustain their concentration."
4,9,Objective Assessment of Generic Skill using Osborn’s Checklist ,"National Institute of Technology have introduced Model Core Curriculum (MCC), which presents the subjects, abilities and their levels that Kosen students have to acquire. In order to provide an effective feedback for better education, the objective assessment of the skill is inevitable. In the case of generic skills, however, it is difficult
[1]
of tool to support creative and divergent thinking. The survey was conducted individually and cooperatively
[2]
When participants generate more ideas on the Osborn’s Checklist, it is available to say that the person can have higher ability of conception. From the examination of the correlation, it is revealed that the more the person generated ideas on the Osborn’s Checklist cooperatively, the higher they scored in some fields which relate to collaboration on PROG Test.
  to assess them individually because they are multiple, complex and complicated
In this research, we try to estimate participants’ skill of the creative thinking using Osborn’s Checklist, a kind
using a worksheet based on Osborn’s Checklist
graders in National Institute of Technology, Nagaoka College and considered the results from a perspective of the objective assessment and examined the correlation between the results and the score of PROG Test, which is widely adopted to assess generic skills at various institutes in Japan."
4,7,"Accuracy verification of Vehicle-Mounted LiDAR
– Preliminarry experiment of Snow Depth Measurement on Roads and Roadsides –","Currently, snow disaster preventions are indispensable in cold regions and snow cover regions in Japan for the sake of the sustainable society. Among the snow disaster preventions, securing road transportation is especially important to sustain the socio-economic activity.
The importance is expanding not only in the Japan Sea coast and the midcontinent, but also in the Pacific Coast in Japan. Particularly, it is Fukushima that the very important area to monitor is. Because Fukushima is located around the border of cold regions and snow cover regions which is sensitive due to the recent climate change.
Authors have developed a Vehicle-Mounted LiDAR system and have started snow survey operation along the road since 2018-2019 winter season. Also, they have a plan to conduct traverse-survey between the Japan coast and Pacific coast, Fukushima and Niigata, respectively in this coming 2019-2020 winter season.
However, the accuracy of the Vehicle-Mounted LiDAR survey has not been verified yet.
This research presents a verification analysis and result of the Vehicle-Mounted LiDAR survey using the known Ground Control Points (GPSs) which was conducted in National Institute of Technology, Fukushima College in 2019 summer season."
4,17,4th STI-GIGAKU 2019: The English Learner’s Lab (TELL) Program at NUT (Abstract) ,"Learning a foreign language requires an extensive amount of time and input. As such, we think it is necessary to implement programs outside of class rooms for students that would increase English language input. Further, by emphasizing the learning of phrases and words that are used in daily life conversations, students will come to see learning English as not solely an academic activity but having practical utility and thus be further motivated.
Listening has an important role both in daily life and academic context as it is a crucial part of effective communication. In spite of its importance, listening was not considered integral to language curricula in the past. However, in recent years, with the emphasis on communication in teaching languages, listening as a skill is receiving much more attention. Further, English learners need to be exposed to and be familiarized with different accents so as to prepare them to communicate with a variety of speakers in an increasingly global work environment.
The TELL Program at NUT is built around English-language videos at multiple levels of difficulty as well as containing a variety of accents. A cloud storage system is used to store past and future videos so participants may view it at their own convenience. Many of the videos also have subtitles in Japanese and English, which is helpful in a self-study scenario. The topics range from daily conversations in comedy shows to subjects that are interesting for technology students (e.g. TED videos). After watching a video, participants discuss the content with each other, or are given simple questions to answer. A foreign student with adequate Japanese and English communication skill acts as the facilitator of the session. This enables participants to discuss, answer questions or get further clarification on phrases, words or the cultural context in either English or Japanese or both.
Currently the number of participants range from 5 to 12 people, depending on the specific video, the difficulty level, and other campus activities on a given day. Participation is not limited to students - staff and teachers who are interested to learn English also attend the session. Attendance is voluntary.
We have observed increased use of English among consistent attendees. Beginners have shown an interest in employing English during discussions, whereas more advanced learners ask questions about the speech patterns and the cultural context in other parts of the world. Attendees mentioned that they find it challenging to understand the meaning of jokes and slang terms used in comedy and science fiction shows.
Future plans for the program include increasing both the number of participants and the level of interaction in English. One option to encourage student attendance is to align the program with English classes (e.g. mandatory TELL attendance for certain courses, showing videos related to material used in classes, etc.). Consistent participation will enable comparing the language proficiency of program participants versus non-participants in listening comprehension, verbal communication and TOEIC scores."
4,17,Extensive Reading Marathon in the Second Year ,"A large amount of English input is required to acquire English. However, it is difficult for an English learner who is studying in an environment where there are few opportunities to learn English outside classes to obtain enough input. Further, many students in our university feel their English ability is not good enough; therefore, we think that it is necessary to implement activities to increase the amount of the input not only in the limited class but also outside the class.
In order for students to study English outside the class, the learning method must be simple, enjoyable, and make them realize the effect of improving their English proficiency. Furthermore, a certain amount of time is required to increase the amount of the input. Considering these problems, Extensive Reading and Listening Marathon was introduced last year.
It is a learning method that allows students to select an English book that suits their English ability as well as their interests, and to read for pleasure. This is the background that led to the establishment of the Extensive Reading and Listening. The purpose of this activity is to increase the amount of input in English. In last year's activities, they allocated extensive reading and listening to half of activity time. Therefore, it can be said that a certain amount of the input was gained. However, as the points to be improved this year’s activity, we can say that, the number of participants gradually decreased, there were few chances to use English and there were no materials to take over in the activity.
Therefore, we aim to build up our own language resources by acquiring the habit of voluntarily speaking English, and to provide an opportunity to actually use English gained by extensive reading. Based on these objectives, we have carried out activities devised by the leader students after the first 30-minute ER. Also, by providing an opportunity to use English, we expect that the participants’ English resources will be established, and that they can actively be involved in the activity. In addition, we thought that this year's activity flow could be visualized and the activities of the next year could be carried out smoothly by creating materials such as the minutes of regular meetings and schedules of activities.
We are creating materials and preparing for takeover. Although we have carried out our activities, the number of participants has been decreasing again this year. The increase in the number of participants brings vitality to the activities and makes participants eager to learn English by encouraging each other. The reverse is also true. Therefore, in the next semester, we plan to carry out activities that will make students interested in English, such as having lectures on Overseas Practical Training, which is a feature of our university, by an experienced senior and inviting foreign students as lecturers."
5,4,"Kawaii Rika Project
~Challenge against decline in student's positive attitude toward science~","In Japanese education society, “decline in student's positive attitude toward science” was discussed since late 1980s. However, the situation has not been improved. In particular, the situation in female students and researchers in science and engineering societies are remarkably serious. For example, the ratio of female doctors in Japan is 20% in 2015, the smallest in the OECD 32 countries [1].
Kawaii Rika Project has been established to solve the problem in 2014 in Nagaoka University of Technology. We focused on the feeling of “Kawaii” to make science and engineering familiar for women and children. A Japanese word “Kawaii” has a similar meaning to “cute” or “pretty” in English, but includes an appetite for approaching and touching.
We have proposed new concept to mix “Kawaii” and “Rika (science in Japan)”. The Kawaii Rika project is promoting some activities as follows:
➢ Activities in Japan
⚫ School festival in Nagaoka University of Technology
⚫ School festival in National Institute of Technology, Kobe College and Kitakyushu
⚫ Science event in Nagaoka City Hall Plaza Ao-re Nagaoka
⚫ 5th Funny Science Festival in National Institute of Technology, Miyakonozyo
➢ Activities in foreign countries
⚫ Workshop in Hanoi University of Science and Technology (in Vietnam)
⚫ Workshop in Isetan and Malaysia-Japan International Institute of Technology (in Malaysia)
➢ Product development
➢ Exchanging with other university"
6,13,ANALYTICAL STUDY ON DEVELOPMENT OF SLOT ANTENNA WITH FREQUENCY SELECTIVITY ,"1. Introduction
Field: Electrical and Information Observation point
FSS
Metal plate (Slot)
348 350
Observation point PML
678 700
y
A millimeter-wave sensor is used to measure the water level of rivers with high accuracy. In order to develop a robust antenna for unnecessary signal, we propose the slot antenna with frequency selectivity by combining FSS (Frequency Selective Surfaces) which transmits or shields radio waves in a specific frequency band. In this study, to design FSS shape, TO (Topology Optimization) using NGnet (Normalized Gaussian network) is carried out. The modeling of the analysis region and the calculation is performed by using FDTD (Finite Difference Time Domain) method.
2. Analysis conditions and TO using NGnet
The analysis region is shown in Fig.1. The analysis frequency is 12 GHz, the cell size is 0.5[mm], and the analysis region is 700×100×100 cells. The slot hole whose size is 2×12.5 mm is drilled in the center of the metal plate. FSS is located in front of the slot. The transmission characteristics S21 is calculated by applying sinusoidally modulated gaussian pulse as an incident wave.
Next, TO using the NGnet is described. TO is the design method to control the shape of an object in a cell unit. NGnet uses the Gaussian function as a basis function to smoothly group the cells
[1]
PML Excitation surface
0 22 35
x [cell]
 Incident wave
 Transmitted wave
Reflected wave
 
Fig.1 Analysis region
25mm
F
      by changing the weighting factor of each Gaussian basis
In this paper, the shape optimization of FSS is carried out by TO with NGnet. The design region of FSS is composed by the
3. Optimization results
The objective function of TO is determined so that only the frequency band of 11.8~12.2 [GHz] can be transmitted. The Number of Gaussian basis per F of FSS is defined by n×n, where n = 3, 5, and 7. When only the slot are arranged, the frequency selectivity is not observed. In contrast, when the slot combining FSS, the transmission characteristics is improved in the frequency band around 12 GHz. Figure 3 shows the optimized shape of FSS when n = 5. It is shown that the proposed method can provide frequency selectivity to the slot antenna. Also, the deviation of the transmission frequency band can be reduced by giving the objective function exactly. In addition, when the distance l between the slot and FSS is increased, the amount of transmission tends to decrease.
Acknowledgments
z
.
unit design region “F"" which is arranged by each basis of NGnet, as shown in Fig.2(a). F is arranged as shown in Fig.2(b) to obtain the symmetry shape of FSS.
(a)Gaussian distribution of ”F” (b)Disposition of ”F” Fig.2 FSS design region
z
 This work was supported by the Telecommunications Advancement Foundation research grants, JSPS KAKENHI Grant Number 19K04383 and Nagaoka University of Technology (NUT) grant for collaborative research with National Institute of Technology (NIT). The computation was carried out using the computer resource by Research Institute for Information Technology, Kyushu University."
6,13,Fundamental study on development novel design method combining topology optimization and machine learning for dielectric lens antenna ,"1. Introduction
The purpose of this study is to develop novel shape design method combining the topology optimization and the machine learning for the dielectric lens for antenna aiming high accuracy water level measurement [1]. The topology optimization for designing dielectric lens shows high designing performance but has heavy computational cost. The prior study using the machine learning for 2D topology optimization of motor structure has been shown that the calculation speed can be accelerated by skipping the low evaluation individuals [2]. To skip them, it is necessary to generate high performance classifier. In this study, we examine the way of linking the identified pictures with objective function (OF) of topology optimization for generating classifier.
2. Overview of topology optimization using machine learning
The overall flow of this study is shown in Fig.1. We have installed until the first and second steps: building neural network and creating data set, where the neural network is VGG-16 and the data set is lens shape picture generated by the topology optimization. The output layer of VGG-16 is restricted using the transfer learning. In the third step, we need to develop to embed the machine learning in the topology optimization program.
First, we try to link the data set of the identified pictures with OF value. OF value, which is the maximum radiation power from the antenna with the dielectric lens in this study, is extracted from the topology optimization history data. Next, the classifier to evaluate and skip the individuals is developed. The data which is linked to OF is labeled by each rank, as shown in Fig.2, and stored in the classifier.
Now, we are making new labels that is set each rank for machine learning. In the future work, we are planning to combine the topology optimization program written by C++ program and the machine learning program written by Python by using shell script.
Acknowledgments"
6,13,DEVELOPMENT OF MILLIMETER WAVE WATER LEVEL DETECTOR USING HORN ANTENNA WITH TOPOLOGY OPTIMIZED RADOME,"INTRODUCTION
A millimeter wave sensor is used widely for many applications such as the automotive radar. Recently, a water level sensor of river with high accuracy has attracted a lot of attention among millimeter wave applications. For practical use, the dielectric radome is required in order to protect the antenna from rain and snow. However, when the dielectric radome is loaded, the antenna gain is decreased, then the measurement distance is shortened. In this study, we aim to maximize the antenna gain by shape design of the dielectric radome using 3D topology optimization[1]. The relationship between the radome design region and the radiation property is examined.
  2.
OPTIMIZATION OF DIELECTRIC RADOME
Figure 1 shows the design region of dielectric radome. The standard horn antenna (Millitech SGH-10, WR-10 standard) are modeled by FDTD (Finite Difference Time Domain) cell unit which is 0.4 mm. All cells in the design region are set either the dielectric or air. The dielectric in this study is Polylactic acid (PLA,r=2.6).
The height of the design region is set to 25 cells (10 mm) and the reference region is embedded into the antenna. To clarify the relation between the radome position and the radiation property, we carry out the topology optimization of the radome shape as shifting the radome position where the shifted distance is x.
When the design region is shifted from 2 to 10 mm, H-plane far field radiation patterns and the optimized radome shape are shown in Fig.2 and Fi.3, respectively. From these results, it is found that the antenna gain is increase when x is larger than 6 mm."
6,14,Attempt at enrichment culture of DPANN archaea under methanogenic condition ,"Archaea widely exist in various environments such as soil, freshwater, ocean, deep sea, ground water, and hot spring, and play significant role in the earth’s geochemical carbon, nitrogen, and sulfur cycles. For industries, Archaea, especially methanogens, are essential key players for anaerobic wastewater treatment technologies. While Archaea are important microorganisms for several natural and artificial environments, most of archaeal physiologies are still unknown due to the difficulty of isolation and cultivation from natural sources. In recent advances of DNA sequencing technologies, culture-independent approaches such as metagenomics and single-cell genomics have revealed the novel archaeal metabolisms. In recent archaeal genome analyses, Archaea belonging to DPANN (Diapherotrites, Parvarchaeota, Aenigmarchaeota, Nanohaloarchaeota and Nanoarchaeota) superphylum have been frequently studied, and these archaea have small cell, genome size, and limited metabolic pathway, and closely exits with other archaeal cells. These results suggest that DPANN might be symbiont. In recent our studies, we newly found 16S rRNA gene sequences of DPANN archaea from methanogenic environments (anaerobic bioreactors treating artificial phenol wastewater and purified terephthalic acid wastewater and an anaerobic digester), which are distantly related to known DPANN archaeal sequences. While several genomic approaches performed to speculate functions of DPANN archaea, their actual physiologies are still unknown due to limited enrichment co-cultures (Nanoarchaeota and Micarchaeota). In addition, DPANN archaea under methanogenic condition are completely veiled due to lack of ecological information.
In this study, to enrich the DPANN archaea under methanogenic condition, we prepared anaerobic inorganic media with different substrates (H2/CO2, formate, acetate, methanol & H2, and phenol). Seed sludge was collected from upflow anaerobic sludge blanket reactor treating artificial polyethylene terephthalate manufacturing wastewater. Cultivation was performed at 37oC under stational condition. To check growth of targeted DPANN archaea, we performed measurement of methane production by gas chromatography and determination of DPANN archaea and host cells using phase contrast and Fluorescent in situ hybridization (FISH) method. Besides, we confirmed the abundance rate of enriched DPANN archaea by 16S rRNA gene sequence analysis using Illumina Miseq. The results of our enrichment cultivation indicated that we confirmed growth of DPANN archaea in cultures with acetate, methanol & H2, and phenol as substrates. In addition, small active cells that closely exist with archaeal cells were confirmed by FISH analysis using ARC915 probe."
6,14,Inactivation of Vibrio fischeri in the Ocean by Pulsed Electric Field ,"The pulsed electric field (PEF) method, which is cited as one of physical non-thermal sterilization methods, enables a continuous treatment with a simple structure. Since this method hardly causes protein denaturation, it can be used to sterilize eggs, fish, and the like, if its bactericidal strength and energy efficiency can be improved. In this study, the ability of pulsed electric field to sterilize Vibrio fischeri (V. fischeri) was examined. When the current applied to V. fischeri was limited, it was impossible to sterilize the bacteria even when the applied voltage and applied time were increased up to 13 kV and 15 minutes, respectively. Subsequently, when helium flow was used to increase the current to V. fischeri, sterilization was confirmed when the applied voltage was 13 kV and the applied time was 5 minutes or more (Fig. 1). In this report, we show that sterilization could be confirmed by measuring the temperature and applying voltage at 20 °C or lower, indicating that sterilization was achieved due to factors other than heat."
6,9,Optimization of copper-free click chemistry FISH for applying microorganisms,"Field: Environment Engineering Fluorescence in situ hybridization (FISH) is a detecting technique for environmental microorganisms (DeLong et al. 1989). Especially, FISH has been used for single-cell genome analysis to reveal the metabolic level and identify of microorganisms. On the other hand, the signal intensity of FISH is not enough for environmental microorganisms. This is because the signal intensity depends on the amount of rRNA present in the cells of the target microorganisms, and the target microorganisms living in rRNA inhabiting the oligotrophic environment is small. To solve this problem, several high-sensitivity FISHs have been developed. Catalyzed reporter deposition (CARD)-FISH has been reported to have a signal intensity 26 to 41 times that of standard FISH (Hoshino, et al., 2008). Moreover, quick hybridization chain reaction (HCR)-FISH has been reported as a high-sensitivity FISH that does not require cell wall treatment (Yamaguchi, et al., 2015). However, CARD-FISH still uses hydrogen peroxide, and its reagent can damage DNA. Also, the signal intensity of HCR-FISH is not enough for environmental microorganisms. So far, no efficient high-sensitivity FISHs have been reported.
In this study, we will introduce our high-sensitivity FISH applicable to single-cell genome analysis. This uses a bond reaction between azide and BCN, which is one of
DAPI Signal Probe Signal the biological orthogonal reactions called copper-free click chemistry. The novel FISH was applied to Escherichia coli as a pure culture strain. As results, a weak positive signal was obtained. Furthermore, a strong signal was obtained by using a higher concentration probe. The
Fig. 1 Visual detection of E. coli by this study. Bars signal confirmed that the fluorescence intensity was
represent 10 um. The exposure time was 50ms comparable to that of standard FISH by DAIME software.
(DAPI signal) or 500ms (Probe signal). In the future, this FISH is expected to amplify its fluorescence intensity further by HCR."
6,12,A Sequential Anaerobic – Aerobic Biological System for Textile Wastewater Treatment,"Reactive dye has been known as one of the most successful modern synthetic dyes applied to the textile industry [1]. However, serious environmental problems stem from the existence of these dyes and their breakdown products in textile wastewater. In other words, an increasing amount of highly colored effluent can pose threats to the natural environment, specifically, be toxic to aquatic life [2]. Thus, appropriate wastewater treatment systems for decolorization have been extremely necessary. Among the current methods applied, biological methods, especially, the sequential anaerobic-aerobic method can be seen a cost-effective and eco-friendly alternative to mineralize completely azo dyes which make up 60–70% of all dyes [3]. Therefore, in our study, a laboratory-scale system combining an anaerobic baffled reactor (ABR, the total volume of 10 L) with a down-flow hanging sponge reactor (DHS, the total volume of 4.14 L) was conducted to treat artificial dyeing wastewater at 300C with 23 hours of hydraulic retention time for ABR reactor. Commercial dyes named HSR Reactive Black, a mix of Vinyl sulphone- reactive dyes, and starch were included in synthetic influent to adjust to 4,070 ± 464 (using colorimeter) and 1,010 ± 70 Pt/Co (using spectrometer) of color levels, and 270 ± 85 mg/L of total COD concentration. Approximately 78.3% ± 8.7% of total COD was removed by the ABR-DHS system, with the most significant reduction in the ABR reactor. Meanwhile, the whole treatment process achieved roughly 60.7% ± 4.9% (using colorimeter) and 47.9% ± 3.1% (using spectrometer) of color removals. Under these results, we believe that the system has a huge potential for treating real dye wastewater on an industrial scale. Furthermore, some treatments with activated carbon, sodium hypochlorite, and ozone addition to ABR-DHS effluent posed some positive results. "
6,,"SYNTHESIS CELLULOSE BASED-HYDROGEL MATERIAL FROM SUGARCANE BAGASSE FOR
GERMINATION APPLICATION","*Corresponding Author: ttctrang@hcmus.edu Abtract: Cellulose was purified from sugarcane bagasse which was collected from Tay Ninh province in Vietnam and then Cellulose Hydrogels was successfully fabricated as the bio-degradable material for germination application. The cellulose hydrogels were prepared with various concentration of Lithium Chloride (LiCl) as 3; 5; 7 & 10 wt% in N,N-dimethyl acetaamine (DMAC) and used for phase inversion of the cellulose solutions to cellulose gel in ethanol moisture at room temparature.
(a)
(b)
Figure 1. (a) Cellulose from sugarcane bagasses, (b) Cellulose based- Hydrogel
The hydrogel properties were determined via SEM, FTIR, XRD viscosity, viscoelasticity, equilibrium water content (EWC) and water contact angle (WCA). The results showed that physical and chemical properties of Cellulose hydrogel were relatively high in EWC with more 85% in each hydrogels. The cellulose hydrogel at higher concentration of Lici showed the increment in the term of elastic and mechanical properties. The tensile strength was enhanced from 328.4 to 515.9 KPa for the celluloes hydrogel containing 3 and 7 wt% of Lici. The degradation was increased from 4.70% to 7.48% for the chitin hydrogel containing 3 and 7 wt% of LiCl at 45 days."
6,14,Bacterial Pathogens removal in Downflow Hanging Sponge Reactor and Conventional Activated Sludge Process ,"For this study, two municipal wastewater treatment systems, Downflow Hanging Sponge (DHS) reactor and Conventional Activated Sludge Process (CAS) were selected. The DHS reactor is a trickling filter that uses a polyurethane-sponge media to carry biomass (Onodera et al.,2014). Wastewater trickles from the top of the reactor and is oxidized by the prokaryotes within and on the surface of the sponge medium as it flows down through the reactor by gravity. The objective of this study was to check the removal capacity of individual genes of bacterial pathogens by both the treatment systems. Microbial detection techniques like Colilert method and Quantitative Polymerase Chain Reaction (qPCR) were utilized to monitor the removal of pathogenic species adapted from the study by Ishii et al., (2013). Out of eight strains only three namely, E. coli, EHEC and C. perfringens were confirmed positive. The other bacteria species such as Shigella spp., Salmonella spp., Campylobacter jejuni, Legionella pneumophila and Listeria monocytogenes were not detected in the sample. In order words, only five targeted genes of three strains were detected positive. The overall removal performance of each treatment units was evaluated by comparing the effluent and influent concentrations. The results as shown in Table 1 revealed that the removal rate of E. coli and EHEC by DHS reactor and CAS were almost similar. However, for C. perfringens, CAS accounting 99% showcased better removal than DHS accounting 98%, owing to resistance to straining and adsorption in DHS reactor. Nevertheless, studies on pathogens in different systems could be useful
to establish standards for policies on wastewater management."
6,13,"Improvement of accuracy of Ministry of Land, Infrastructure, Transport and Tourism (MLIT) C-band radar by using a deep learning ","There are two types of dams in Japan. One is a dam managed by the Japanese government, and the other is a dam (Hereafter, this dam is called subsidy dam.) managed by prefectural government with subsidies from the Japanese government. Most subsidies dams have poor measured precipitation (rainfall and snowfall) data, and the basin area are small. Therefore, there is a possibility that there is a problem in the dam operation because appropriate spatial distribution of precipitation has not been measured. Furthermore, it is necessary to measure precipitation high frequently because water flows into the dam in short time. Appropriate spatial rainfall data with high frequency is needed in the dam operation. Purpose of this study developed the algorithm for high accuracy of the MLIT C-band radar with high frequency by using a deep learning.
For the purpose, a correction technique of the MLIT C-band radar developed in the previous study was further improved, and rainfall prediction technology was developed in this study. The target basin of this study was the upstream area of the Sagurigawa Dam, and SONY Neural Network Console was used as deep learning tool. Improvement of accuracy of MLIT C-band radar was examined with convolutional neural network model of deep leaning. MLIT C-band radar was corrected by using Japan meteorological agency analytical rainfall as correct data. The technology to predict rainfall was developed by using recurrent neural network model of deep leaning. This time, rainfall was predicted with 5minutes time interval at one point within the basin in this study."
6,15,Development of an In-situ Heavy Metal-Contaminated Groundwater Treatment Technique by Using Biomineralized CaCO3 ,"Heavy metal-contaminated soils and groundwater have become a common problem in the world [1]. The major problem of the excavation-removal method, a conventional heavy metal remediation technique, would be high cost for the complete remediation or the high risk of releasing toxic heavy metals to other environments. In addition, the application of excavation-removal method is difficult, where a heavy metal contaminated site below structures. In this study, we evaluated the potential applicability of an in-situ heavy metal-contaminated groundwater treatment technique based on the heavy metal adsorption capacity of biomineralized CaCO3. We successfully isolated strain WKDN with aerobic denitrification and CaCO3 biomineralization capabilities from soil. The X-ray diffraction analysis indicated that the dominant component of precipitates produced in-vitro by strain WKDN was calcite. 16S rRNA gene-based phylogenetic analysis suggested that this strain is an Acinetobacter species. The result obtained from a sand column experiment indicated that dissolved zinc (Zn) can be effectively removed by CaCO3 biomineralized by strain WKDN (Fig. 1). Overall our data suggested that the described biomineralized CaCO3-based method has good application prospects for the in-situ treatment of heavy metal-contaminated groundwater. "
6,9,Analysis of Microbial Diversity in Activated Sludge of A/O MBR in Low Organic Loading rate under Different Temperature Condition ,"In recent years, Membrane Bioreactor have been proposed in wastewater treatment field because of the advantages such as compact occupying area, High volume loading rate, good effluent quality. The main obstacle for wide application of MBR has been membrane fouling, which causes functional deterioration such as permeation flux decrease. In this study, the influence of difference in the microbial community structure of activated sludge on the membrane fouling of the membrane bioreactor (MBR) under low organic loading rate conditions were investigated.
We operated two MBRs (Fig.1) on exact same period under low temperature condition of RL (12.9°C) and high temperature conditions of RH1 and RH2 (25.8°C and 26.3°C), respectively. During the MBR operation, periodically collecting the activated sludge samples and the membrane surface biofilm and sludge samples, where membrane fouling occurred, were collected and analyzed the microbial community structure based on the 16S rRNA gene sequence. As the result, membrane fouling was developed under RL and RH1 conditions. The microbial diversity of activated sludge on each condition (Fig.2) suggested that stable microbial diversity in middle period was important for fouling control in comparison between RH1 and RH2. In the RL condition, an uncultured OD1 bacteria was predominant in the biofilm, and TM6 bacteria was predominant in the biofilm of RH1condition MBR. On the other hand, “Candidatus Promineofilum” (phylum Chloroflexi), which is reported as EPS degradation bacteria, was predominant genus in the MBR of RH2 condition and it was thought that it might be leads to membrane fouling control."
6,,Semipermeable Membrane Supporting Body ,
7,9,Combustion characteristics of biogas-oxygen counterflow diffusion microflames ,"Recently, biogas composed of methane and carbon dioxide has attracted attention as one of renewable energy. However, biogas is not widely used because of its low calorie. To use low calorie biogas, oxygen combustion is adopted as one of the effective methods, where the flame temperature is higher than that of air combustion. We adopt diffusion flames to perform oxygen combustion where there is no flashback. We want to utilize a microflame in a compact energy conversion device which is expected to be used as an emergency power source.
In our previous study, flammable range of burner gap, flame thickness and flame diameter were measured in biogas-oxygen counterflow diffusion microflames when burners were installed vertical and horizontal directions. The inner diameter of burner is 0.3 and 0.5mm, and outer diameter is 1.59mm. Flow rate of biogas is 4, 5, 6 and 7 mL / min, and the equivalent ratio is set to unity. The mixing ratio, defined as the methane flow rate relative to the total flow rate of methane and carbon dioxide, is 1.0, 0.67, 0.50 and 0.40. The basic characteristics of microflames such as flammable range and flame stretch effects were revealed in our previous study.
In our present study, we investigate the combustion characteristics when the flame is covered with a glass tube. The inner diameter of glass tube is 5, 10 and 15 mm, the thickness is 1-1.5 mm, and the length is 60 mm. The flammable range extends in most conditions, compared with the case of no glass tube. In particular, the flammable region extends greatly when the flow rate is small and the mixing ratio is low. It can be used for energy conversion device by replacing the glass tube with thermoelectric elements."
7,9,AI-based thermal design of electronic devices ,"The heat generation density of electronic devices has increased due to the device miniaturization and the computational performance improvement. High heat generation density causes high temperature of electronic components, decreasing the long-term reliability of the electronic devices. The thermal design is an important design step for the electronic devices. However, trials and errors based on the designer’s experience are the mainstream of the current thermal design. is needed.
The purpose of this study is to develop a more intelligent thermal design method based on artificial intelligent (AI) technology. As for the first step of the development, we try to optimize the arrangement of electronic components on the circuit board and to find the arrangement with the smallest thermal load. We create a mathematical model in MATLAB/Simulink. The temperature of the components and the board is calculated by using the thermal network method. Figure 1 shows the outlines of the mathematical model and the corresponding thermal circuit in Simulink. In Fig. 1 (a), the number of components is three for example. In Fig. 1 (b), each components are connected in a thermal circuit. By applying Bayesian optimization to this model, the optimal component placement which minimized the thermal load is searched. We will report the results of some test optimizations and discuss the advantages of the present method in comparison with the conventional method."
