Goal No.,title,Abstract,Conclusion,,
6,Treatment of TMAH and MEA Containing Wastewater by UASB(Up-flow Anaerobic Sludge Blanket) Reactor,"The purpose of this research is to evalute (1) start-up UASB reactorThe purpose of this research is to evalute (1) start-up UASB reactor treating TMAH and MEA, (2) the effects of sulfate reducing on the anaerobic metabolic.",,,
7,Investigations into Properties of New Functional Carbon Particles for Applicatin in Electrochemical Energy Conversion,"Recently, functional carbon materials are garnering attention because they have many interesting properties and are cheaper than noble metals (Pt, Au, etc). In particular, new electrodes utilizing functional carbon materials are expected to substitute the Pt electrode. In recent years, new carbon particles (CPs) from methane have been developed by microwave-assisted catalytic decomposition. CPs mainly constitutes nickel-covered nanographene (Fig. 1). In this study, we measured and assessed the electrochemical properties of CPs. The CPs were pretreated with 0.1M sulfuric acid. After the pretreatment, CPs or platinum on nanocarbon (Pt/C) were packed into a porous microelectrode (PME, 0 =50 u m). We performed electrochemical measurements in the electrolytic solutions using a potentiostat/galvanostat and a function generator. We used Pt, Au, and carbon-fiber microelectrodes as well as PME as the working electrode, Ag/AgCl as the reference electrode, and Pt coil as the auxiliary electrode. The electrolytic solutions were 0.1M Na2SO4(aq) and 0.1M H2SO4(aq) saturated with O2, 0.1M tetrabutylammonium tetrafluoroborate (TBABF) in acetonitrile saturated with 02, and 10 mM NaClO in 1M Na S04. Figure 2 shows the typical current-potential curves in 0.1 M H2SO4 saturated with O2 (scan rate = 10 mV/s). At PME packed CPs, the onset potential for oxygen reduction reaction (ORR) is observed at around +0.6 V vs. Ag/AgCl. Similarly, at PME packed Pt/C, the onset potential for ORR is observed at +0.6 V vs. Ag/AgCl. This result suggests that, 1) the onset potential in acidic medium for ORR at CPs is as good as that for a Pt/C, 2) the electron transfer at CPs is slower than Pt/C from the potential to steady state.",,,
7,Preparation of Si-containing carbon microsphere by pyrolysis of polysilane,,"Si-CMS was prepared. Silicon oxides were detected on the surface of the particles. High discharge capacitance was observed as preliminary experiment, compared with that of CMS.",,
7,Experimental study on Reducing Technique of Voltage and Current Distortion by 3-level Inventer with Asymmetrical DC Voltage Sources,"Inverters can convert DC power to AC power with an arbitrary amplitude and frequency. Recently, they are required low power loss and low distortion of the output voltage and current. Multilevel inverters can reduce the switching loss and the voltage and current distortion though the configurations of the main circuit and the control circuit are complicated. This paper proposes a new multilevel inverter whose circuit is the same as a conventional 3-level inverter but the DC-link voltages are asymmetry. (Fig. 1) The voltage and current THDs are evaluated when the two-phase modulation techniques which are the negative voltage based method(NVBM) and the positive voltage based method(PVBM) are used. The simulation and experimental results with the system which has two DC-link voltages (total voltage is 120 V) show the effects of the proposed technique. The following results have been obtained. (1) In NVBM, the proposed technique can reduce the voltage and current THDs in the low modulation ratio more than the conventional method. The larger the ratio of the DC-link voltages are, the lower the THDs becomes. (2) In PVBM, the proposed technique can reduce THDs more than the conventional method when the one DClink voltage is 65 V or 70 V. (3) The proposed technique, which switches NVBM and PVBM, can reduce the THDs except around the modulation ratio of 0.6 when the one DC-link voltage is 65 V. (Fig. 2)",,,
7,Treatment of Lipid-rich Wastewater by Anaerobic Baffled Reactor and Down-flow hanging Sponge reactor,,"This ABR-DHS system can be applied as ""the resource recovery type treatment system"" for POME in Southeast Asia The ambient temperature become less than 25 °C, the performance of ABR get worse To heat bottom of ABR, performance of ABR is improved Biogas production are related to scum forming → Sludge is necessary for scum forming This year, the diameter of compartment 1 is expanded to improve the recovery performance of scum",,
7,"Development of Electron utilizing bacteria specific ""directly"" isolation device","Development of energy recovery technology is an important issue for achieving sustainable development. We have studied energy recovery technology from waste biomass. This technique is characterized by using as a catalyst a bacteria that uses an electron as an energy source (Electron utilizing bacteria; EUB). By constructing a reactor with EUB, it is possible to convert ""waste"" to ""valuable"" with one reactor. Up to now, we succeeded in producing a trace amount of acetate using EUB. However, it is essential to add high value to the product for industrialization of this technique. For that purpose, it is necessary to isolate EUB that can produce various valuable commodity chemicals from the environment. Therefore, we developed a device called Solid-Phase Electrochemical Colonization and Isolation Equipment System (SPECIES) that can isolate EUB directly from the environment. This apparatus is characterized by using a carbon nano-tube (CNT) coated petri dish as an electron donor of EUB. Specific separation of EUB was attempted by spotting gellan gum on a CNT petri dish, dropping anaerobic digested sludge, and culturing in anaerobic state at -600 mV for 3 weeks. After operation, microbial community were analyzed by Denaturing Gradient Gel Electrophoresis. As a result, it became clear that the community structure was different on the presence or absence of voltage application. Currently, we are proceeding with the identification of DGGE bands specific to the voltage applied culture.",,,
7,PRE-RESEARCH FOR ELECTRONIC STRUCTURE OF WATER MOLECULE ADOSORVED GRAPHITE SURFACE,"The nano carbon materials have attracted much attention because of their applications to various devices such as energy storage and metal-oxide semiconductor field effect transistor. Graphite is formed by multi layers of two-dimensional crystal of sp2-bonded carbons, which has excellent properties with high electron mobility and thermal conductivity. When these properties were applied to electronic devices, the knowledge concerning with surface and interface condition of formed insulating film on semiconductor is very important. In this work, as the foundation of a device process, we have studied about oxidation and hydrogenation processes on HOPG surface at room temperature by metastable atom induced electron spectroscopy (MIES) and low energy electron diffraction (LEED). MIES and LEED observations were carried out in an ultra-high vacuum (UHV) chamber. The experimental setup was equipped with helium metastable atom (He source, LEED optics, and hemispherical energy analyzer (CLAM2, VG). The sample is highly oriented pyrolytic graphite (HOPG) substrate, cleaned by scotch tape method in the air and annealed by direct current Joule heating around 600 °C in the UHV chamber. The HOPG clean surface was observed the ring pattern by LEED. Oxygen and hydrogen gasses were exposed to HOPG surface at room temperature separately. We measured HOPG surface with oxygen exposures up to 20 L using MIES. The MIES spectrum at clean surface showed a peak around 15 eV, labeled Pa, originated in the electron emission from C(π). With increasing oxygen exposures, the intensity of Px slightly decreased and two electronic structures induced by oxygen (Poi and Po2) appeared in middle energy region. Next, hydrogen gas was exposed to oxygen adsorbed HOPG surface. At hydrogen exposures less than 300 L, the intensity of peaks (Poi and Po2) decreased. It indicates that the adsorbed oxygen atoms were reduced by hydrogen reduction reaction. By the additional hydrogen exposures up to 1500 L, a new peak (PC-H) due to induced C-H bond appeared around 8 eV in MIES spectra [1]. The intensity of this peak increased with increasing hydrogen exposures. This result implies that the HOPG surface was hydrogenated. We will discuss about the electronic structures of oxygen and hydrogen adsorbed HOPG surface.",,,
7,Time-resolved Measurement of Particle Density Variation in a Nanosecond Pulsed Microplasma by means of One-dimensionally Michelson Interferometry,"Non-thermal microplasmas in atmosphere have been expected that adapting to widely applications such as bio medical, material, environmental and industrial filed. However, the non-thermal microplasmas are unstable state and transform immediately to thermal plasma. On the other hand, nanosecond pulsed plasmas are known well that one of the means for creating non-thermal reaction field. Here, we have studied on hydrogen production from water by using the nanosecond pulsed discharge plasma and generation of non-thermal nanosecond pulsed microplasma assisted by field emission electron from a vertically-arranged carbon nanotube cathode. In this presentation, we discuss results about measurement of variation of a particle density in nanosecond pulsed discharge plasma by laser Michelson interferometry. The Michelson interferometry is constituted of a continues laser, optical fibers arranged one-dimensionally and high-speed response photodiode detector. Positive pulsed voltages with maximum output 25 kV and pulse width 200 ns were applied to anode electrode. The vertically-arranged carbon nanotubes are fixed on cathode plane electrode by an electrical conductive tape. The laser and detectors in the interferometry were used a continuous He-Ne laser (632 nm) and a Si photodiode with rise time 1 ns, respectively. The observed fringe in the experiment is shown in Fig. 1. The variation of particle density in the discharge is measured quantitatively by using the fringe shift amount.",,,
7,ALGAL GROWTH EFFECTS OF ELUATE FROM A CHELATING AGENT,"Microalgae have attracted attention for use as biofuels because they do not compete for food resources as corn and sugar corn production might. Nevertheless, the growth rate of microalgae is lower than that of bacteria. It remains a challenge to use microalgae as a stable fuel source. This study investigated a method to grow microalgae effectively, particularly examining effects on Parachlorella kessleri (Chlorella kessleri) by eluate from a commercial resin for immobilized metal ion adsorption chromatography. First, the chelating resin was mixed with ultrapure water. Then the supernatant was filtrated using a 0.45 um pore filter. Each eluate concentration was expressed as the total organic carbon (TOC). Secondly, algae were cultured in CA medium containing eluate of various concentrations. After incubation of algae with eluate, the algal number was estimated using hemocytometry. The effects of the eluate on algal growth were compared with those of algal growth factor sesamol. Moreover, the thermal tolerance of the eluate was assessed by bioassay using algae and UV/IR spectrophotometries. Finally, the eluate was subjected to freeze-drying for purification of materials from the eluate. After treatment of algae with the eluate, the algal growth increased concentration-dependently (Fig. 1). Moreover, the proliferative effect of the eluate on algae was greater than that of sesamol. It is particularly interesting that the heated eluate decreased the proliferative effect on algae. Analyses using UV/IR spectroscopies revealed that the decreased proliferative effect might result from the conformational change of the biologically active substances in the eluate. Taking thought thermosensitivity of the eluate, the entity in the eluate was refined by freeze-drying, which produced fine-grained crystals. Structural analyses using LC-MS and NMR might elucidate the molecular structure of the substance from the eluate.",,,
7,Genome Research for New Clean Energy using Next Generation Sequencer Miseq,"Recently, we have various problems, for example, depletion of fossil fuel, global warming by CO2 and environmental destruction. Therefore, biomass has been attracted attention. The biomass is renewable and alternative energy other than fossil fuel. Typical biomass are Cellulose, Chitin and Chitosan. But, these are not almost utilized yet. To promote utilizing biomass, it is needed searching novel enzymes degrading biomass and developing new methods of efficient bio-conversion. We aimed to solve those problems from information of genome obtained by researching with Miseq (NGS: Next Generation Sequencer), thanks to collaborate with TriInstitutional Collaborative/ Cooperative Educational Reform Project. First, some bacteria degrading chitin and chitosan were screened and isolated for searching novel enzymes. And we found chitinase genes and chitosanase genes from these bacteria by complete genome analysis using Miseq. Next, a bacterial flora of soil around root of oleander Japanese: KYOTIKUTO) was investigated to discover novel bacteria degrading oleandrin, the poison of oleander. If we can degrade oleandrin by workings of bacteria, oleander is able to use as biomass. Result, we identified chitinase gene and chitosanase gene from genome of bacteria from Okinawan soil. And, we revealed bacterial flora of soil around root of oleander. Thus, we made it possible to research for using Miseq in National Institute of Tecnology Okinawa College by Tri-Institutional Collaborative/ Cooperative Educational Reform Project.",,,
7,"""Expansion of FRT Operation Range for Grid-Tied Matrix Converter System""","Nowadays, wind turbine systems have attracted attentions as a sustainable energy system. In the wind turbine systems, the fault-ride-through (FRT) regulations for the grid-tied converter are applied in many countries in order to avoid a power interruption in a large scale when only a local grid fault occurs. A power converter employed in the wind turbine must satisfy the FRT regulation as following: 1) the wind turbine system needs to continue to operate during the grid voltage sag when the remaining voltage and its duration are within a limitation defined by the grid regulation; 2) a reactive current is delivered to the grid dependently on the remaining voltage. Moreover, in the wind turbine system, the generator torque needs to be maintained regardless of the grid state in order to avoid unexpected acceleration and vibration of the wind turbine. Thus, a grid-tied converter is also required the following capability aside from the FRT regulation: 3) the grid-tied converter has to maintain the generator torque during the grid voltage sag as same as that in the normal operation. On the other hand, a matrix converter has attracted many attentions as a high-performance AC-AC converter. The matrix converter is expected to achieve higher efficiency, smaller size and longer lifetime compared to a conventional back-to-back (BTB) system. In previous works, grid-tied systems using the matrix converter for the wind turbine or a micro turbine systems have been reported. A conventional FRT control method for the matrix converter has been proposed to achieve 1) the stable FRT operation, 2) the grid reactive current control and 3) the generator torque control in the same time during the voltage sag. However, in this control method, the generator current amplitude is limited because only the q-axis current is controlled whereas the d-axis current is kept to zero. Consequently, the matrix converter cannot satisfy the FRT conditions of more than the voltage sag of 43% for the grid current due to the limitation of the generator current. This paper proposes the FRT method for the grid-tied matrix converter in order to expand the FRT range. The proposed method maintained the 4-axis current to keep the generator torque constant and injected the d-axis current in order to adjust the generator power factor. This increased the maximum grid reactive current, which expanded the FRT range. From the simulation results, the proposed method realized the stable FRT operation during the voltage sag of 70%. Furthermore, the maximum value of the grid reactive current was increased by 15% as compared to that of the conventional method. Consequently, the range of the FRT operation was expanded by 57pt from 43% or less to 100%.",,,
7,"Design of Flyer Velocity Measurement System for Flyer Acceleration by Intense Pulsed Power Supply ""ETIGO-Ⅱ""","Physical properties of insulator materials in extreme high energy density state are needed for various fields, such as a silicate for the planetary science [1], a diamond-like carbon for optimization of ignition process in the fast-ignition inertial confinement fusion [2], and so on. Warm Dense Matter (WDM) is a region of high-energy-density state, which relies on dense (1021-1024cm) and moderate temperature (10-10-K). The Joule-heating by using pulsed power discharge is not suitable to generate the WDM from these insulator materials. ""ETIGO-II"" is one of the intense pulsed power generator [3] and proposed to use the generating system of WDM of insulator by flyer impact used the intense electron beams. [4] However the flyer velocity was not measured in this system and need to develop the measurement system. In this study, we designed to measure the flyer velocity by TOF from shadow graphs using backlight spulsed laser. The test results of moving a thin wire is shown clearly shadows on photograph that means the shadows of flyer is same thickness will be taken on photograph.",,,
7,EFFECT OF HIGH-ENERGY HELIUM BEAM IRRADIATION IN TUNGSTEN TO MEASURE EROSION FOR PLASMA FACING MATERIAL IN MAGNETIC CONFINEMENT FUSION SYSTEM,"In magnetic confinement fusion devices, helium ions were generated by nuclear fusion reaction. The first wall of a vacuum vessel and divertor were damaged due to escaped helium ions from magnetic lines. Thus the tungsten material was expected as the candidate of plasma facing materials because it has high melting point, high spattering resistance, etc. However, by irradiation of low energy helium ions (< keV), erosions have been observed such as bubble structures called helium bubble, filament structures called W-fuzz, and so on. In addition, high-energy helium ions (-MeV) are irradiated to the first wall by ripple losses. It is important to estimate irradiation damages in the tungsten material due to high-energy helium because this effect can degrade the performance of the first wall. In this study, we investigate the irradiation effect for tungsten in depth direction by helium ions at energy of 4 MeV. Using a tandem accelerator, Heion beam at energy of 4MeV was irradiated to a tungsten plate to generate the damages in depth direction. Where, the particle fluence was achieved approximately 1022 ions/m. Using a focused ion beam (FIB) system, the tungsten sample was processed to thin thickness (-100nm) that can be observed by a transmission electron microscope (TEM). Using the TEM system, diffraction images were acquired at helium irradiated area and non-irradiated area. As a result, Debye-Scherrer rings were observed for the diffraction patterns in the helium non-irradiated area. In contrast, at the helium irradiated area, diffraction patterns were changed in comparison with non-irradiated area. This result suggests that grain size was increased due to the high-energy helium irradiation.",,,
7,In-situ Observation by EC-FM-AFM on Reaction Process of Lead Electrode Surface in Sulfuric Acis Solution,"The morphology change at the surface of the lead electrode during Cyclic-Voltammetry measurement will provide us some cue to improve the electric charging characteristics, which can be observed by using frequency modulation (FM) mode electrochemical (EC) atomic force microscopy (AFM). The goal of this study is to understand the precise mechanism of charge/discharge of lead battery.",,,
7,Cell Performance and Stability of Ni1-xCox-YSZ Cermet Anode for the Electrochemical Oxidation of Methane,"Development of proper metal or alloy catalysts combined with an oxide-ion conductor is required for the electrochemical oxidation of hydrocarbon fuels in solid oxide fuel cells (SOFCs). We have investigated the cell performance of an anode consisting of Ni-Co solid-solution alloy (Nij-xCox) particles combined with yttria-stabilized zirconia (YSZ) electrolyte particles. The Nio.75C00.25-YSZ|YSZ|Lao.:Sro.2 MnO; cell showed the highest performance both for hydrogen and methane at 650-800°C among the composition X = 0 to 0.75. The maximum power density of the Nio.75CO0.25-YSZ cell was 1.4 times as large as that of the Ni-YSZ cell for hydrogen at 750°C. By comparison, the maximum power density of the Nio.75CO0.25-YSZ cell was 2.1 times for methane under the same experimental condition. The prominent increase in the performance of the Nio.75C00.25-YSZ cell was observed for methane more than that for hydrogen. This effect was confirmed by the AC impedance analysis and the DC polarization measurement. The relation between the cell performance and the anode microstructure showed that a moderate amount of Co addition to Ni can impede the grain growth of the Ni metal matrix particles and increase the triple phase boundary area, which is favourable for keeping the cell stability for prolonged operation of an SOFC fuelled with methane.",,,
7,Visualization of nuclei in Trichoderma reesei,"Filamentous fungus Trichoderma reesei has been reported to produce a large amount of cellulolytic enzymes. Therefore, many researches have focused on gene expression and genome analysis in T. reesei for the industrial usefulness of cellulase. In addition, recent researches have shown the relationship between morphology of T. reesei and its cellulase producing mechanism. The difference of hyphae morphology between the standard strain QM9414 and the cellulase high-producing mutant PC-3-7 when they grew on cellulose culture (cellulase producing condition) and glucose culture (cellulase non-producing condition) has been reported. Furthermore, the intracellular morphology of T. reesei hyphae was analyzed in details by reconstructing 3D images of QM9414 and PC-3-7 from 500 serial sections captured by focused ion beam scanning electron microscope (FIBSEM). These 3D images showed that the number of nuclei per cell of cellulose culture was less than that of glucose culture. The result suggests that the change in number of nuclei maybe related to cellulase productivity. In this study, to elucidate the relationship between the number of nuclei and cellulase productivity, in vivo visualization of nuclear was performed. The number of nuclei was investigated in each cell compartment, by staining nuclei with SYTO 9, that is green fluorescent reagent for staining nucleic acid. Consequently, the number of nuclei per cell in cellulose culture was less than that in glucose culture. However, all of nuclei were unlikely to be stained by SYTO 9. To solve this problem, a histone protein H2B that constructs nucleosome in nuclei was fused to green fluoresce protein (GEP) and expressed in QM9414 strain. Currently, expression of GFP in QM9414 strain is being analyzed by confocal laser microscope.",GFP-H2B was successfully expressed in QM9414. Visualization of nuclei in live cell of T. reesei is the important step to analysis the relationship between the chance of nuclei and cellulase productivity.,,
7,Transcriptional regulation mechanism of proteases in Trichoderma ressei,"Trichoderma reesei is an industrially important filamentous fungus secreting extensive cellulases. Stability of secreted cellulases in media is one of the key factors to show their maximum enzyme activity. Previous studies have recorded post-transcriptional modification in cellulaes by proteases in T. reesei. Among these proteases, the main extracellular protease in T. reesei is the Family Al, aspartic protease Trichodermapepsin (TrAsP). Furthermore, with the increasing of TrAsP in culture media, cellulases decrease. This relationship suggests that they have a differential regulation system. However, there is an exhaustive information of environmental signal transduction mechanism for cellulase regulation in transcriptional level but the knowledge of transcriptional regulation of TrAsP is in infancy. The aim of this study is the elucidation of transcriptional regulation of TrAsP and discerning relationship between cellulase and protease regulation mechanism in T. reesei. In order to elucidate environmental signal transduction regulation mechanism for TrAsP expression in T. reesei, effect of carbon, nitrogen and pH were analyzed by protein expression and transcriptional analysis. Galactose was found as the best carbon source for TrAsP expression. In addition, TrAsP was induced by organic nitrogen and acidic pH in galactose medium. But, when addition of the galactose to organic nitrogen sources induction media trsap expression was found to be much lower compared to expression with the individual nitrogen sources alone. This result suggests that a novel transcriptional regulation mechanism exists in T. reesei for the protease regulation. The environmental responsive transcription factors were identified in T. reesei as following as carbon responsive; Xyrl and Crel, nitrogen responsive; AreA and pH responsive; Pac1. To analyze the effect of the above transcription factors for TrAsP regulation, SDS-PAGE, protease activity and qRT-PCR were carried out using deleting mutants of QM9414. As a result, Crel and Pacl behaved as repressors and AreA as an activator for TrAsP regulation. Surprisingly Xyrl acted as a repressor for trasp in spite of the main cellulase activator. Therefore, Xyr1 distruptant was selected for microarray analysis to ascertain the relationship between cellulase and protease regulation. Both Avicel and galactose mediums, Xyrl acted as a repressor for TrAsP. Consequently, this study showed that the differential transcriptional regulation mechanism of proteases exists compared to known regulation mechanisms of cellulases in T. reesei.",,,
7,ANALYSIS OF RELATIONSHIP BETWEEN LIGHT RESPONSE AND LIPID PRODUCTION IN THE OLEAGINOUS YEAST Rhodosporidium toruloides,"Oleaginous yeast Rhodosporidium toruloides can produce high amounts of lipid (Triacylglycerol) from monosaccharides. In the optimal condition, lipid in R. toruloides occupy over 70 % of dry cell weight and lipid compositions of R. toruloides are similar to that of oleaginous plants. Therefore, lipid made from R. toruloides would solve various problems in Japan that the low degree of self-sufficiency in edible oil and dependence on imported lipid, etc. In addition, R. toruloides can also produce an antioxidative compound, carotenoid. Carotenoid is a group of valuable molecules for the pharmaceutical, chemical, food and feed industries. It has been reported that carotenoid production in microorganism improved by light. But it has not been revealed that carotenoid biosynthesis mechanism is controlled by light. R. toruloides NBRC 10032 strain indicates red colored colony phenotype only when it is irradiated by light, which suggests improvement of the productivity of carotenoid by light. Here we showed the elucidation of light responsive mechanism of R. toruloides NBRC 10032 strain and analyzed the relationship between carotenoid production and lipid production. As a result, carotenoid production was increased at maximum 5 times and dry cell weights were decreased by irradiation as compared with these from dark condition. Furthermore, it was clarified that increase of proportion of C18:1 that is excellent to oxidation stability in total fatty acids. From the expression analysis of genes related to carotenoid biosynthesis by qRT-PCR, it was revealed that they were overexpressed since 72 hours after irradiation. Because the cells were red colored phenotype at 24 hours by irradiative cultivation, their expression pattern within 24 hours was analyzed. Surprisingly, we revealed that genes related to carotenoid biosynthesis were overexpressed in 1 hour after irradiation and transcripts were disappeared. This result shows that R. toruloides has two-step light response mechanisms and demonstrates that R. toruloides received oxidative stress from light.",,,
7,ALYSIS OF RECOMBINANT Trichoderma reesei STRAINS EXPRESSING β-GLUCOSIDASE 1,"Cellulase-overproducing mutants of Trichoderma reesei have been considered prime sources of enzymes needed for the economic saccharification of pretreated cellulosic biomass. Cellulase of T. reesei, such as cellobiohydrolase (CBH), endglucanase (EGL) and B-glucosidase (BGL), have the synergic effect (Fig. 1). However, BGL activity had been found to be quite low in cellulase preparations from T. reesei. It was reported that specific activity of BGL1 of T. reesei (TrBGL1) and of Aspergillus aculeatus (AaBGL1) were 19 U/mg and 180 U/mg, respectively. Therefore, to develop the T. reesei strains appropriate for the saccharification of pretreated cellulosic biomass, we were trying to improve BGL activity of T. reesei by expressing AaBGL1. In previous study, we constructed JN11 strain expressing aabgl1 using xyn3 promoter that is low expression level. Furthermore, we constructed JN12 strain expressing aabgi1 using the cbh1 promoter that is the highest expression level in cellulase, and JN13 strain expressing aabg11 using the egl1 promoter that is the middle expression level (result 1). In this study, we analyzed the cellulase activity, cellulase genes expression levels and biomass saccharification of JN1 series. BGL activity of PC-3-7, JN11, JN12 and JN13 were 0.09 U/mg, 9,07 U/mg, 29,77 U/mg, 11.86 U/mg, respectively (result 2). The expression of aabg1 in JN1 strains was confirmed by RT-PCR (result 3). Saccharification tests indicated that JN11 and JN13 were appropriated for hydrothermal pretreated biomass and NaOH pretreated biomass, respectively (result 4).",,,
7,Analysis of the Transglycosylation Activity of BGILL in Trichoderma ressei,"In filamentous fungus Trichoderma reesei that is a potent producer of cellulase, the expression of cellulase genes is inductive and observed in the presence of inducers. It has been believed that inducers of cellulases occur from cellobiose by transglycosylation activity of B-glucosidases (BGL), however the detailed analysis has not been well investigated. And, it is reported that sophorose that is potent inducer in T. reesei is also produced by transglycosylation activity. T reesei mutant PC-3-7, derived from standard strain QM9414, has enhanced productivity by cellobiose. From the result of comparative genomics analysis, it is revealed to mutate one of intracellular BGL, BGLII, in PC-3-7. When this mutation was recovered, cellulase productivity on cellobiose was decreased. So it suggested that mutation of BGL|| involves in potent productivity of PC-3-7. In this presentation, to clarify functions of BGLII on induction of cellulase and impacts on transglycosylation activity by mutated BGLII, So we focus on 409th amino acid residue that mutated point of BGLII in PC-3-7, and we show mutation analysis by bg 2 that is substituted Val into other 19 kinds of amino acids.",It is comfirmed expression of recombinant BGLII that substituted aliphatic and small or tiny size amino acid for 409th residue. It is suggested potentiality that transglycosylation products of V409S and V409T include powerful inducer of cellulase.,,
7,Identification of the novel pH-responsive cellulase regulating factor in filamentous fungus Trichoderma reesei,"Filamentous fungus Trichoderma reesei produces a variety of cellulases and hemicellulases to degrade lignocellulose into monosaccharides. Many high cellulase-producing mutant strains of T. reesei have been developed by mutagenesis around the world. Among them, The Japanese high cellulaseproducing mutant PC-3-7 strain has been obtained from the global standard QM9414 strain. We have identified 54 genes of single nucleotide polymorphisms (SNPs) with mutation of amino acid in gene coding region between the wild type QM6a strain of T. reesei and its mutant strains. Previously, we were tried to characterize the effects of pH on cellulase production of mutant strains. We revealed that QM9414 strain shows the highest cellulase production under lower pH condition, while N-25 strain, derived from QM9414 strain, has higher pH-dependent cellulase productivity. There were 9 genes derived from SNPs between QM9414 and N-25. Therefore, it was considered cellulase productivity was altered by these SNP genes in N-25 strain. In this study, we aimed to identify the factor which related in pH-dependent cellulase production. we analyzed cellulase gene expression under the various pH conditions in Japanese mutants. This result suggested pH-dependent cellulase productivity of N-25 strain was reduced by low protein secretion. To elucidate the SNP that related in pH-dependent cellulase production, deletants of 9 SNP gene from QM9414 strain were constructed and analyzed pH-dependent cellulase production under the various pH conditions. As a result, two deletants (gene annotated transmembrane protein and a/B-hydrolase) decreased cellulase productivity under the lower pH conditions like N-25 strain. Furthermore, the N-25 expressed each wild type protein could not produce cellulase and hemicellulase under the lower pH conditions, while the mutant expressed both wild type protein was acquired cellulase productivity. Therefore, these results suggested that both genes were related in lower pH-dependent cellulase secretion.",Identified the novel lower pH-dependent cellulase regulating factors Lower pH : Activation of cellulase secretion by MFS transporter and α/β-hydrolase Higher pH : Repression of cellulase expression by other SNP protein,,
7,Functional analysis of C terminal-tail of putative trancepter CRT1 involved in lignocellulase production in Trichoderma reesei,"Trichoderma reesei is one of the most efficient lignocellulolytic fungi and it produces various lignocellulose-degrading enzymes called as lignocellulases. Lignocellulase secretion of T. reesei is dramatically activated when it is cultivated on cellulose as a sole carbon source. However, it is still unknown in detail how T. reesei recognizes lignocellulose existing on outer cell. Membrane proteins such as transporter show the important role in sugar uptake and recognition in yeast and filamentous fungi. Recently, trancepter that is a group of membrane protein has been identified in some filamentous fungi, and mostly involves in lignocellulase induction. From the analysis of several transporters induced by cellulose, it was revealed that deletion of putative trancepter CRT1 lead complete loss of lignocellulase production by cellulose. In addition, expression amount of CRT1 was extremely higher than that of the other transporter genes. Furthermore, localization analysis suggested that CRT1 was cleaved between transmembrane domain and C terminal-tail region. Therefore, it is speculated that C terminal-tail of CRT1 is involved in the signaling for lignocellulase induction. In this study, the purpose is to elucidate the signaling mechanism of C terminal-tail of CRT1 for lignocellulase induction. To analyze the function of C terminal-tail, we constructed various strains producing a deletion series of C terminal-tail. Although, transformant that deleted full length of C terminal-tail (residues 1-466) had no lignocellulase productivity. Transformants of partial deletion of C terminal-tail (residues 1-472, 1-486 and 1-498) could produce lignocellulases in the presence of cellulose. These results indicate that C terminaltail involves in lignocellulase production. Furthermore, it is also suggested that a region between 466 and 472 is important part of CRT1 for its function. To analyze the localization of CRT1 in the cell, GFP fused C terminal-tail expression strain (residues 466-510-GFP) was expressed. In fluorescence observation of this strain, was present in cytoplasm unlike GFP fusion CRT1 expression strain under lignocellulase induction condition. This result suggests that intracellular localization of CRT1 is not depending on C terminal-tail.",,,
7,Estimation of electricity characteristics by long-term field test of a CPV module utilizing diffuse irradiance,,"We did long-term field test with CPV module utilizing diffuse irradiance. This module have advantage when there is a lot of diffuse irradiance and weather conditions and condensation occur. Hereafter, I design and manufacture new modules taking advantage of the findings of this research.",,
7,STUDY OF TUNGSTEN FUZZ STRUCTURE GENERATION BY ATMOSPHERIC PLASMA,"Tungsten material is expected as one candidate for plasma facing wall materials of nuclear fusion reactors. It is known that fuzz structure [1,2] is formed on the surface when a tungsten material is irradiated with helium plasma. Kajita et al. [3] clarified that the fuzz formed tungsten material works as a nearly perfect light absorber for the near infrared region from the visible region. It is expected as a solar absorber of the next-generation solar power system. In this research, therefore, we aim to produce a fuzz structure by atmospheric plasma in order to produce the fuzz structure in low cost. Schematic drawing of the experimental equipment used this study is shown in Fig. 1. In this device, 2.45 GHz microwave is generated by the magnetron. The microwave propagates inside the waveguide, and reflects at the end of the waveguide. As a result, a standing wave is generated by superimposing the incident wave and the reflected wave. When the helium gas passes through the nozzle, the gas is ionized by the standing wave, and a plasma jet is generated. As a result of electrostatic probe measurement the electron temperature is approximately 2.5 eV when the microwave power is 600 W and the gas flow rate is 2 L/min. A tungsten sample is irradiated by helium plasma jet. After the irradiation, We observed the surface of the specimen by field emission scanning electron microscopy (FE-SEM). After the helium plasma irradiation in atmospheric pressure, the color of the surface of the specimen turns yellowish green, although it is known that the color turns black when the fuzz structure is generated by vacuum plasma. Figure 2 shows the SEM image of the surface of the specimen. Fibrous structure similar to the fuzz structure is observed. We also found the tungsten trioxide on the surface by energy dispersive x-ray analysis (EDS).",,,
